key,p_x,p_y
32JPN.X19,,
32JPN.X22,,
32JPN.X4,,
32JPN.X9,,
32JPN.X11,,
32SEN.X16,,
32SEN.X3,,
32SEN.X5,,
32SEN.X6,,
32SEN.X10,,
32SEN.X12,,
32SEN.X13,,
32SEN.X17,,
32SEN.X18,,
32SEN.X19,,
32SEN.X22,,
32SEN.X8,,
32SEN.X9,,
32SEN.X11,,
33URU.X1,,
33URU.X3,,
33URU.X6,,
33URU.X8,,
33URU.X9,,
33URU.X14,,
33URU.X15,,
33URU.X17,,
33URU.X19,,
33URU.X21,,
33URU.X22,,
33URU.X7,,
33URU.X10,,
33URU.X18,,
33RUS.X1,,
33RUS.X3,,
33RUS.X4,,
33RUS.X6,,
33RUS.X8,,
33RUS.X11,,
33RUS.X13,,
33RUS.X15,,
33RUS.X19,,
33RUS.X22,,
33RUS.X23,,
33RUS.X2,,
33RUS.X7,,
33RUS.X10,,
34KSA.X21,,
34KSA.X3,,
34KSA.X6,,
34KSA.X7,,
34KSA.X9,,
34KSA.X13,,
34KSA.X14,,
34KSA.X16,,
34KSA.X18,,
34KSA.X19,,
34KSA.X23,,
34KSA.X8,,
34KSA.X20,,
34EGY.X1,,
34EGY.X2,,
34EGY.X6,,
34EGY.X7,,
34EGY.X8,,
34EGY.X9,,
34EGY.X10,,
34EGY.X13,,
34EGY.X17,,
34EGY.X19,,
34EGY.X21,,
34EGY.X11,,
34EGY.X14,,
34EGY.X22,,
35IRN.X1,,
35IRN.X3,,
35IRN.X6,,
35IRN.X8,,
35IRN.X9,,
35IRN.X11,,
35IRN.X17,,
35IRN.X18,,
35IRN.X19,,
35IRN.X20,,
35IRN.X23,,
35IRN.X5,,
35IRN.X10,,
35IRN.X14,,
35POR.X1,,
35POR.X3,,
35POR.X5,,
35POR.X6,,
35POR.X7,,
35POR.X9,,
35POR.X10,,
35POR.X14,,
35POR.X20,,
35POR.X21,,
35POR.X23,,
35POR.X8,,
35POR.X11,,
35POR.X17,,
36ESP.X1,,
36ESP.X2,,
36ESP.X3,,
36ESP.X5,,
36ESP.X6,,
36ESP.X10,,
36ESP.X15,,
36ESP.X18,,
36ESP.X19,,
36ESP.X21,,
36ESP.X22,,
36ESP.X9,,
36ESP.X17,,
36ESP.X20,,
36MAR.X12,,
36MAR.X2,,
36MAR.X4,,
36MAR.X6,,
36MAR.X7,,
36MAR.X8,,
36MAR.X10,,
36MAR.X13,,
36MAR.X14,,
36MAR.X16,,
36MAR.X17,,
36MAR.X11,,
36MAR.X19,,
36MAR.X20,,
37DEN.X1,6,3
37DEN.X4,4.3,2.1
37DEN.X6,3.5,3
37DEN.X8,2.7,3.3
37DEN.X10,2.5,2.7
37DEN.X11,2.5,1.5
37DEN.X13,4.3,3.5
37DEN.X14,3.8,1.5
37DEN.X17,3.5,4.5
37DEN.X21,1.5,3
37DEN.X23,2.5,4.3
37DEN.X12,2.875,6
37DEN.X15,3.25,6
37DEN.X18,3.625,6
37FRA.X16,0.5,3
37FRA.X3,2,2.2
37FRA.X4,2,4
37FRA.X7,4.2,3
37FRA.X8,3.5,1.7
37FRA.X9,5,3
37FRA.X11,3.8,4.3
37FRA.X13,3.2,3.4
37FRA.X15,3.2,2.6
37FRA.X19,3.2,4.5
37FRA.X21,3.2,1.5
37FRA.X10,2.875,0
37FRA.X18,3.25,0
37FRA.X22,3.625,0
38AUS.X1,6,3
38AUS.X5,4.3,3.5
38AUS.X7,2,2
38AUS.X9,1.5,3
38AUS.X10,2,4
38AUS.X13,3.4,3.5
38AUS.X15,3.4,2.5
38AUS.X16,3.5,4.5
38AUS.X19,3.5,1.5
38AUS.X20,4.3,2.3
38AUS.X23,2.8,3
38AUS.X4,2.875,6
38AUS.X17,3.25,6
38AUS.X22,3.625,6
38PER.X1,0.5,3
38PER.X4,2,2.4
38PER.X6,2.8,1.5
38PER.X8,3.8,2.4
38PER.X9,5,3
38PER.X13,3,3.5
38PER.X15,2,3.6
38PER.X17,2.8,4.5
38PER.X18,3.8,3.7
38PER.X19,3,2.3
38PER.X20,3.7,2
38PER.X7,2.875,0
38PER.X16,3.25,0
38PER.X23,3.625,0
39NGA.X23,,
39NGA.X2,,
39NGA.X4,,
39NGA.X5,,
