key,p_x,p_y
37COL.X1,0.5,3
37COL.X4,3,4.5
37COL.X7,3,1.5
37COL.X11,4,4
37COL.X13,3.7,3.2
37COL.X15,3,3
37COL.X16,2.5,2.1
37COL.X19,5,3
37COL.X20,3.5,2.7
37COL.X21,4,3
37COL.X23,2.7,3.83
37COL.X5,2.875,0
37COL.X10,3.25,0
37COL.X22,3.625,0
38GRE.X1,,
38GRE.X2,,
38GRE.X4,,
38GRE.X7,,
38GRE.X8,,
38GRE.X10,,
38GRE.X14,,
38GRE.X15,,
38GRE.X16,,
38GRE.X19,,
38GRE.X20,,
38GRE.X12,,
38GRE.X17,,
38GRE.X22,,
38CIV.X1,,
38CIV.X3,,
38CIV.X4,,
38CIV.X8,,
38CIV.X9,,
38CIV.X10,,
38CIV.X11,,
38CIV.X17,,
38CIV.X19,,
38CIV.X20,,
38CIV.X22,,
38CIV.X12,,
38CIV.X14,,
38CIV.X21,,
39ITA.X1,,
39ITA.X2,,
39ITA.X3,,
39ITA.X4,,
39ITA.X8,,
39ITA.X9,,
39ITA.X15,,
39ITA.X17,,
39ITA.X19,,
39ITA.X21,,
39ITA.X23,,
39ITA.X5,,
39ITA.X10,,
39ITA.X18,,
39URU.X1,,
39URU.X3,,
39URU.X6,,
39URU.X7,,
39URU.X9,,
39URU.X13,,
39URU.X14,,
39URU.X17,,
39URU.X20,,
39URU.X21,,
39URU.X22,,
39URU.X11,,
39URU.X16,,
39URU.X18,,
40CRC.X1,,
40CRC.X3,,
40CRC.X5,,
40CRC.X6,,
40CRC.X9,,
40CRC.X10,,
40CRC.X14,,
40CRC.X15,,
40CRC.X16,,
40CRC.X17,,
40CRC.X19,,
40CRC.X7,,
40CRC.X11,,
40CRC.X21,,
40ENG.X13,,
40ENG.X5,,
40ENG.X7,,
40ENG.X8,,
40ENG.X9,,
40ENG.X12,,
40ENG.X16,,
40ENG.X17,,
40ENG.X20,,
40ENG.X21,,
40ENG.X23,,
40ENG.X4,,
40ENG.X10,,
40ENG.X19,,
41HON.X18,6,3
41HON.X3,4.7,3.83
41HON.X5,4.7,2.1
41HON.X6,3.5,4.5
41HON.X8,3.5,3.5
41HON.X11,2,3
41HON.X13,1.5,3
41HON.X14,2.7,2.1
41HON.X15,2.7,4
41HON.X20,3.7,2.5
41HON.X21,3.5,1.5
41HON.X9,2.875,6
41HON.X17,3.25,6
41HON.X23,3.625,6
41SUI.X1,0.5,3
41SUI.X2,2.5,4.5
41SUI.X8,3.25,2.8
41SUI.X10,4.3,4.5
41SUI.X11,3,3.2
41SUI.X13,2.5,1.5
41SUI.X18,4.3,1.5
41SUI.X19,5,3
41SUI.X20,2,2.1
41SUI.X22,2,3.83
41SUI.X23,4.5,3
41SUI.X6,2.875,0
41SUI.X9,3.25,0
41SUI.X15,3.625,0
42ECU.X22,,
42ECU.X2,,
42ECU.X3,,
42ECU.X4,,
42ECU.X6,,
42ECU.X7,,
42ECU.X10,,
42ECU.X13,,
42ECU.X14,,
42ECU.X15,,
42ECU.X16,,
42ECU.X5,,
42ECU.X11,,
42ECU.X21,,
42FRA.X1,,
42FRA.X5,,
42FRA.X10,,
42FRA.X11,,
42FRA.X14,,
42FRA.X15,,
42FRA.X17,,
42FRA.X18,,
42FRA.X19,,
42FRA.X21,,
42FRA.X22,,
