key2,p_x,p_y
30PRK.X11,3,1.83
30PRK.X17,3.5,3
30PRK.X6,2.875,6
30PRK.X15,3.25,6
30PRK.X16,3.625,6
31CHI.X3,0,0
31CHI.X4,0,0
31CHI.X17,0,0
31CHI.X18,0,0
31CHI.X7,0,0
31CHI.X9,0,0
31CHI.X15,0,0
31CHI.X1,0,0
31CHI.X6,0,0
31CHI.X8,0,0
31CHI.X14,0,0
31CHI.X10,0,0
31CHI.X11,0,0
31CHI.X22,0,0
31SUI.X2,0,0
31SUI.X5,0,0
31SUI.X13,0,0
31SUI.X17,0,0
31SUI.X9,0,0
31SUI.X10,0,0
31SUI.X1,0,0
31SUI.X6,0,0
31SUI.X8,0,0
31SUI.X11,0,0
31SUI.X16,0,0
31SUI.X7,0,0
31SUI.X18,0,0
31SUI.X19,0,0
32ESP.X3,5,3.83
32ESP.X5,5,2.16
32ESP.X11,4.7,4.5
32ESP.X15,4.7,1.5
32ESP.X7,1.5,3.83
32ESP.X9,1.5,2.16
32ESP.X22,3,2
32ESP.X1,6,3
32ESP.X8,2,3
32ESP.X14,3,4
32ESP.X16,3.5,3
32ESP.X10,2.875,6
32ESP.X13,3.25,6
32ESP.X17,3.625,6
32HON.X2,1.5,3.415
32HON.X3,1.5,2.58
32HON.X21,2,1.5
32HON.X23,2,4.5
32HON.X11,5,3
32HON.X13,3.5,1.83
32HON.X15,4,3
32HON.X18,0.5,3
32HON.X8,3.25,3.5
32HON.X19,3.5,4.16
32HON.X20,3.25,2.5
32HON.X7,2.875,0
32HON.X10,3.25,0
32HON.X12,3.625,0
33MEX.X2,0,0
33MEX.X3,0,0
33MEX.X4,0,0
33MEX.X5,0,0
33MEX.X15,0,0
33MEX.X9,0,0
33MEX.X10,0,0
33MEX.X17,0,0
33MEX.X1,0,0
33MEX.X6,0,0
33MEX.X18,0,0
33MEX.X7,0,0
33MEX.X8,0,0
33MEX.X14,0,0
33URU.X2,0,0
33URU.X4,0,0
33URU.X6,0,0
33URU.X16,0,0
33URU.X7,0,0
33URU.X9,0,0
33URU.X10,0,0
33URU.X1,0,0
33URU.X11,0,0
33URU.X15,0,0
33URU.X17,0,0
33URU.X19,0,0
33URU.X20,0,0
34FRA.X2,2,4.5
34FRA.X5,1.75,3.83
34FRA.X17,1.75,2.16
34FRA.X22,2,1.5
34FRA.X7,4.75,1.5
34FRA.X9,5,3
34FRA.X11,4.75,4.5
34FRA.X1,0.5,3
34FRA.X8,4.75,3
34FRA.X18,3.375,3.83
34FRA.X19,3.375,2.16
34FRA.X10,2.875,0
34FRA.X12,3.25,0
34FRA.X15,3.625,0
34RSA.X3,4.5,4.5
34RSA.X4,5,2.16
34RSA.X5,4.5,1.5
34RSA.X20,5,3.83
34RSA.X9,1.5,2.16
34RSA.X17,1.5,3.83
34RSA.X1,6,3
34RSA.X6,3.75,2.16
34RSA.X8,3,4
34RSA.X10,3,2
34RSA.X23,3.75,3.83
34RSA.X2,2.875,6
34RSA.X11,3.25,6
34RSA.X18,3.625,6
35KOR.X4,0,0
35KOR.X12,0,0
35KOR.X14,0,0
35KOR.X22,0,0
35KOR.X10,0,0
35KOR.X18,0,0
35KOR.X7,0,0
35KOR.X8,0,0
35KOR.X16,0,0
35KOR.X17,0,0
35KOR.X19,0,0
35KOR.X5,0,0
35KOR.X13,0,0
35KOR.X15,0,0
35NGA.X2,0,0
35NGA.X5,0,0
35NGA.X6,0,0
35NGA.X17,0,0
35NGA.X8,0,0
35NGA.X19,0,0
35NGA.X1,0,0
35NGA.X4,0,0
35NGA.X12,0,0
35NGA.X13,0,0
35NGA.X20,0,0
35NGA.X9,0,0
35NGA.X18,0,0
35NGA.X21,0,0
36ARG.X2,0,0
36ARG.X3,0,0
36ARG.X4,0,0
36ARG.X15,0,0
36ARG.X10,0,0
36ARG.X16,0,0
36ARG.X19,0,0
36ARG.X22,0,0
36ARG.X5,0,0
36ARG.X8,0,0
36ARG.X20,0,0
36ARG.X7,0,0
36ARG.X18,0,0
36ARG.X23,0,0
36GRE.X5,0,0
36GRE.X8,0,0
36GRE.X11,0,0
36GRE.X15,0,0
36GRE.X16,0,0
36GRE.X19,0,0
36GRE.X7,0,0
36GRE.X12,0,0
36GRE.X6,0,0
36GRE.X10,0,0
36GRE.X21,0,0
36GRE.X3,0,0
36GRE.X4,0,0
36GRE.X18,0,0
37ENG.X2,0,0
37ENG.X3,0,0
37ENG.X6,0,0
37ENG.X15,0,0
37ENG.X10,0,0
37ENG.X19,0,0
